"ID","GENRE_NAME","GENRE_CODE","REMARKS","DELETE_FLG","VERSION","CREATED","MODIFIED","MODIFIED_BY"
"211","日本史","210","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"212","北海道地方","211","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"213","東北地方","212","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"214","関東地方","213","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"215","北陸地方","214","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"216","中部地方：東山・東海地方","215","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"217","近畿地方","216","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"218","中国地方","217","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"219","四国地方","218","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"220","九州地方","219","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"221","アジア史. 東洋史","220","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"222","","221","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"223","","222","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"224","","223","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"225","","224","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"226","","225","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"227","","226","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"228","","227","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"229","","228","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"230","","229","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"231","ヨーロッパ史. 西洋史","230","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"232","","231","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"233","","232","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"234","","233","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"235","","234","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"236","","235","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"237","","236","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"238","","237","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"239","","238","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"240","","239","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"241","アフリカ史","240","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"242","","241","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"243","","242","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"244","","243","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"245","","244","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"246","","245","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"247","","246","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"248","","247","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"249","","248","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"250","","249","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"251","北アメリカ史","250","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"252","","251","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"253","","252","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"254","","253","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"255","","254","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"256","","255","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"257","","256","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"258","","257","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"259","","258","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"260","","259","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"261","南アメリカ史","260","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"262","","261","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"263","","262","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"264","","263","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"265","","264","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"266","","265","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"267","","266","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"268","","267","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"269","","268","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"270","","269","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"271","オセアニア史. 両極地方史","270","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"272","","271","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"273","","272","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"274","","273","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"275","","274","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"276","","275","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"277","","276","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"278","","277","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"279","","278","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"280","","279","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"281","伝記","280","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"282","","281","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"283","","282","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"284","","283","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"285","","284","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
